snomedctconceptid,snomedctdescriptionid,active,effectivetime,typeid,snomedctterm,cough,dyspnoea,sputum
12895002,1475426019,1,31jul2017,Fully specified name,Physiotherapeutic breathing exercise (regime/therapy),,1,
12895002,733011019,0,31jan2003,Fully specified name,Physiotherapeutic breathing exercise (procedure),,1,
12895002,1495637015,1,31jul2017,Synonym,Breathing exercises,,1,
12895002,22111012,1,31jul2017,Synonym,Physiotherapeutic breathing exercise,,1,
12895002,22112017,0,31jan2002,Synonym,Breathing exercise,,1,
13094009,4595728012,1,30sep2021,Fully specified name,Apnea in newborn (finding),,1,
13094009,735282011,0,30sep2021,Fully specified name,Apnea in the newborn (finding),,1,
13094009,4595729016,1,30sep2021,Synonym,Apnea in newborn,,1,
13094009,4595730014,1,30sep2021,Synonym,Apnoea in newborn,,1,
13094009,3784527018,1,31jan2020,Synonym,Neonatal apnea,,1,
13094009,2725661000000110,1,01jun2019,Synonym,Not breathing in newborn infant,,1,
13094009,22412010,1,31jul2017,Synonym,Apnea neonatorum,,1,
13094009,22414011,1,31jul2017,Synonym,Apnoea neonatorum,,1,
13094009,3013340015,1,31jul2017,Synonym,Neonatal apnoea,,1,
13094009,475011015,1,31jul2017,Synonym,Apnoea of newborn,,1,
13094009,475012010,1,31jul2017,Synonym,Apnea of newborn,,1,
13094009,22411015,0,30sep2021,Synonym,Apnea in the newborn,,1,
13094009,22413017,0,30sep2021,Synonym,Apnoea in the newborn,,1,
130955003,735298016,1,31jul2017,Fully specified name,Fetal distress (finding),,1,
130955003,210589018,1,31jul2017,Synonym,Fetal distress,,1,
130955003,210590010,1,31jul2017,Synonym,Foetal distress,,1,
130955003,2790897010,1,31jul2017,Synonym,Nonreassuring foetal status,,1,
130955003,2794405012,1,31jul2017,Synonym,Nonreassuring fetal status,,1,
1322491000000105,2831251000000113,1,13may2020,Fully specified name,Recently performed oxygen administration by non-rebreather mask (event),,1,
1322491000000105,2831261000000111,1,13may2020,Synonym,Recently performed oxygen administration by non-rebreather mask,,1,
1322491000000105,2831271000000116,1,13may2020,Synonym,Recently performed oxygen administration by non-rebreathing mask,,1,
135883003,514392019,1,31jul2017,Fully specified name,Cough with fever (finding),1,,
135883003,216653013,1,31jul2017,Synonym,Cough with fever,1,,
1366004,739063015,1,31jul2017,Fully specified name,Inhalation therapy procedure (procedure),,1,
1366004,1495662015,1,31jul2017,Synonym,Breathing treatment,,1,
1366004,3386013,1,31jul2017,Synonym,Inhalation therapy procedure,,1,
1366004,3387016,0,31jan2002,Synonym,"Inhalation therapy procedure, NOS",,1,
161923004,543006016,1,31jul2017,Fully specified name,Productive cough -clear sputum (finding),1,,1
161923004,252351017,1,31jul2017,Synonym,Productive cough -clear sputum,1,,1
161924005,543008015,1,31jul2017,Fully specified name,Productive cough -green sputum (finding),1,,1
161924005,252352012,1,31jul2017,Synonym,Productive cough -green sputum,1,,1
161925006,543009011,1,31jul2017,Fully specified name,Productive cough-yellow sputum (finding),1,,1
161925006,252353019,1,31jul2017,Synonym,Productive cough-yellow sputum,1,,1
161927003,2607019013,1,31jul2017,Fully specified name,Night cough present (situation),1,,
161927003,2461436018,0,31jul2006,Fully specified name,Night cough present (context-dependent category),1,,
161927003,543011019,0,31jul2004,Fully specified name,Night cough present (finding),1,,
161927003,252357018,1,31jul2017,Synonym,Night cough present,1,,
161929000,543013016,1,31jul2017,Fully specified name,Chesty cough (finding),1,,1
161929000,252359015,1,31jul2017,Synonym,Chesty cough,1,,1
161929000,252360013,1,31jul2017,Synonym,Bronchial cough,1,,1
161932002,543016012,1,31jul2017,Fully specified name,Morning cough (finding),1,,
161932002,252363010,1,31jul2017,Synonym,Morning cough,1,,
161933007,543017015,1,31jul2017,Fully specified name,Evening cough (finding),1,,
161933007,252364016,1,31jul2017,Synonym,Evening cough,1,,
161938003,2607021015,1,31jul2017,Fully specified name,No breathlessness (situation),,1,
161938003,1470258011,0,31jul2006,Fully specified name,No breathlessness (context-dependent category),,1,
161938003,543023013,0,31jan2003,Fully specified name,No breathlessness (finding),,1,
161938003,4034863011,1,31jan2021,Synonym,Shortness of breath not present,,1,
161938003,4034864017,1,31jan2021,Synonym,Dyspnoea absent,,1,
161938003,4034865016,1,31jan2021,Synonym,Dyspnea absent,,1,
161938003,252384017,1,31jul2017,Synonym,No breathlessness,,1,
161939006,543024019,1,31jul2017,Fully specified name,Breathless - moderate exertion (finding),,1,
161939006,252385016,1,31jul2017,Synonym,Breathless - moderate exertion,,1,
161940008,543025018,1,31jul2017,Fully specified name,Breathless - mild exertion (finding),,1,
161940008,252386015,1,31jul2017,Synonym,Breathless - mild exertion,,1,
161941007,543026017,1,31jul2017,Fully specified name,Dyspnea at rest (finding),,1,
161941007,252387012,1,31jul2017,Synonym,Breathless - at rest,,1,
161941007,252389010,1,31jul2017,Synonym,Dyspnoea at rest,,1,
161941007,252390018,1,31jul2017,Synonym,Dyspnea at rest,,1,
161941007,252388019,1,31jan2002,Synonym,SOBAR - Shortness of breath at rest,,1,
161947006,543034011,1,31jul2017,Fully specified name,Nocturnal cough / wheeze (finding),1,,
161947006,252406018,1,31jul2017,Synonym,Nocturnal cough / wheeze,1,,
161956003,543044013,1,31jul2017,Fully specified name,Breath symptom (finding),,1,
161956003,252419019,1,31jul2017,Synonym,Breath symptom,,1,
161957007,543045014,1,31jul2017,Fully specified name,Breath normal (finding),,1,
161957007,252420013,1,31jul2017,Synonym,Breath normal,,1,
162481009,2561296010,1,31jul2017,Fully specified name,Breathing aggravates symptom (finding),,1,
162481009,543631016,0,31jan2006,Fully specified name,Breathing aggravates symptom (context-dependent category),,1,
162481009,253357012,1,31jul2017,Synonym,Breathing aggravates symptom,,1,
162718006,2561752014,1,31jul2017,Fully specified name,On examination - distressed (finding),,1,
162718006,543857016,0,31jan2006,Fully specified name,On examination - distressed (context-dependent category),,1,
162718006,2668155014,1,31jul2017,Synonym,On examination - distressed,,1,
162718006,253615013,1,31jan2002,Synonym,O/E - distressed,,1,
162890008,2561430016,1,31jul2017,Fully specified name,On examination - dyspnea (finding),,1,
162890008,544047014,0,31jan2006,Fully specified name,On examination - dyspnea (context-dependent category),,1,
162890008,3789175019,1,31jan2020,Synonym,On examination - dyspnoea,,1,
162890008,2667239013,1,31jul2017,Synonym,On examination - dyspnea,,1,
162890008,253888018,1,31jul2003,Synonym,O/E - dyspnea,,1,
162890008,253889014,1,31jan2002,Synonym,O/E - dyspnoea,,1,
162891007,2561431017,1,31jul2017,Fully specified name,On examination - orthopnea (finding),,1,
162891007,544048016,0,31jan2006,Fully specified name,On examination - orthopnea (context-dependent category),,1,
162891007,3780574017,1,31jan2020,Synonym,On examination - orthopnoea,,1,
162891007,2667240010,1,31jul2017,Synonym,On examination - orthopnea,,1,
162891007,253891018,1,31jul2003,Synonym,O/E - orthopnea,,1,
162891007,253890017,1,31jan2002,Synonym,O/E - orthopnoea,,1,
162892000,2561432012,1,31jul2017,Fully specified name,On examination - respiratory distress (finding),,1,
162892000,544049012,0,31jan2006,Fully specified name,On examination - respiratory distress (context-dependent category),,1,
162892000,2667241014,1,31jul2017,Synonym,On examination - respiratory distress,,1,
162892000,253892013,1,31jan2002,Synonym,O/E - respiratory distress,,1,
162896002,2561436010,1,31jul2017,Fully specified name,On examination - stertorous breathing (finding),,1,
162896002,544053014,0,31jan2006,Fully specified name,On examination - stertorous breathing (context-dependent category),,1,
162896002,2667740011,1,31jul2017,Synonym,On examination - stertorous breathing,,1,
162896002,253896011,1,31jan2002,Synonym,O/E - stertorous breathing,,1,
162908006,2560321017,1,31jul2017,Fully specified name,On examination - breathing method (finding),,1,
162908006,544068010,0,31jan2006,Fully specified name,On examination - breathing method (context-dependent category),,1,
162908006,2666382016,1,31jul2017,Synonym,On examination - breathing method,,1,
162908006,253909010,1,31jan2002,Synonym,O/E - breathing method,,1,
162909003,2560322012,1,31jul2017,Fully specified name,On examination - abdominal breathing (finding),,1,
162909003,544069019,0,31jan2006,Fully specified name,On examination - abdominal breathing (context-dependent category),,1,
162909003,2666383014,1,31jul2017,Synonym,On examination - abdominal breathing,,1,
162909003,253910017,1,31jan2002,Synonym,O/E - abdominal breathing,,1,
162910008,2560323019,1,31jul2017,Fully specified name,On examination - thoracic breathing (finding),,1,
162910008,544070018,0,31jan2006,Fully specified name,On examination - thoracic breathing (context-dependent category),,1,
162910008,2666384015,1,31jul2017,Synonym,On examination - thoracic breathing,,1,
162910008,253911018,1,31jan2002,Synonym,O/E - thoracic breathing,,1,
162911007,2560324013,1,31jul2017,Fully specified name,On examination - mouth breathing (finding),,1,
162911007,544071019,0,31jan2006,Fully specified name,On examination - mouth breathing (context-dependent category),,1,
162911007,2666385019,1,31jul2017,Synonym,On examination - mouth breathing,,1,
162911007,253912013,1,31jan2002,Synonym,O/E - mouth breathing,,1,
162913005,2560326010,1,31jul2017,Fully specified name,On examination - rate of respiration (finding),,1,
162913005,544073016,0,31jan2006,Fully specified name,On examination - rate of respiration (context-dependent category),,1,
162913005,2666387010,1,31jul2017,Synonym,On examination - rate of respiration,,1,
162913005,253914014,1,31jan2002,Synonym,O/E - rate of respiration,,1,
162913005,253915010,1,31jan2002,Synonym,O/E - respiratory rate,,1,
162913005,253916011,1,31jan2002,Synonym,O/E - breathing rate,,1,
162920003,2561844017,1,31jul2017,Fully specified name,On examination - shallow breathing (finding),,1,
162920003,544081015,0,31jan2006,Fully specified name,On examination - shallow breathing (context-dependent category),,1,
162920003,2668356018,1,31jul2017,Synonym,On examination - shallow breathing,,1,
162920003,253929011,1,31jan2002,Synonym,O/E - shallow breathing,,1,
162949006,2560891016,1,31jul2017,Fully specified name,On examination - breath sounds (finding),,1,
162949006,544113014,0,31jan2006,Fully specified name,On examination - breath sounds (context-dependent category),,1,
162949006,2668413010,1,31jul2017,Synonym,On examination - breath sounds,,1,
162949006,253960011,1,31jan2002,Synonym,O/E - breath sounds,,1,
162950006,2560892011,1,31jul2017,Fully specified name,On examination - breath sounds normal (finding),,1,
162950006,544114015,0,31jan2006,Fully specified name,On examination - breath sounds normal (context-dependent category),,1,
162950006,2668414016,1,31jul2017,Synonym,On examination - breath sounds normal,,1,
162950006,253961010,1,31jan2002,Synonym,O/E - breath sounds normal,,1,
162951005,2560893018,1,31jul2017,Fully specified name,On examination - bronchial breathing (finding),,1,
162951005,544115019,0,31jan2006,Fully specified name,On examination - bronchial breathing (context-dependent category),,1,
162951005,2475506018,1,31jul2017,Synonym,On examination - tubular breathing,,1,
162951005,2668415015,1,31jul2017,Synonym,On examination - bronchial breathing,,1,
162951005,253962015,1,31jan2002,Synonym,O/E - bronchial breathing,,1,
162954002,2560894012,1,31jul2017,Fully specified name,On examination - cavernous breathing (finding),,1,
162954002,544118017,0,31jan2006,Fully specified name,On examination - cavernous breathing (context-dependent category),,1,
162954002,2475507010,1,31jul2017,Synonym,On examination - amphoric breathing,,1,
162954002,2668416019,1,31jul2017,Synonym,On examination - cavernous breathing,,1,
162954002,253965018,1,31jan2002,Synonym,O/E - cavernous breathing,,1,
163177005,2561006013,1,31jul2017,Fully specified name,On examination - breath smell (finding),,1,
163177005,544365018,0,31jan2006,Fully specified name,On examination - breath smell (context-dependent category),,1,
163177005,2667382012,1,31jul2017,Synonym,On examination - breath smell,,1,
163177005,254294012,1,31jan2002,Synonym,O/E - breath smell,,1,
163177005,254295013,1,31jan2002,Synonym,O/E - smell of breath,,1,
163178000,2561007016,1,31jul2017,Fully specified name,On examination - breath smell normal (finding),,1,
163178000,544366017,0,31jan2006,Fully specified name,On examination - breath smell normal (context-dependent category),,1,
163178000,2667383019,1,31jul2017,Synonym,On examination - breath smell normal,,1,
163178000,254296014,1,31jan2002,Synonym,O/E - breath smell normal,,1,
163179008,2561385016,1,31jul2017,Fully specified name,On examination - breath smell unpleasant (finding),,1,
163179008,544367014,0,31jan2006,Fully specified name,On examination - breath smell unpleasant (context-dependent category),,1,
163179008,2668222014,1,31jul2017,Synonym,On examination - breath smell unpleasant,,1,
163179008,254297017,1,31jan2002,Synonym,O/E - breath smell unpleasant,,1,
163180006,2560687011,1,31jul2017,Fully specified name,On examination - breath offensive-halitosis (finding),,1,
163180006,544369012,0,31jan2006,Fully specified name,On examination - breath offensive-halitosis (context-dependent category),,1,
163180006,2667877012,1,31jul2017,Synonym,On examination - breath offensive-halitosis,,1,
163180006,254298010,1,31jan2002,Synonym,O/E - bad breath,,1,
163180006,254299019,1,31jan2002,Synonym,O/E - halitosis,,1,
163180006,254300010,1,31jan2002,Synonym,O/E-breath offensive-halitosis,,1,
163181005,2560688018,1,31jul2017,Fully specified name,On examination - breath sweet - acetone (finding),,1,
163181005,544370013,0,31jan2006,Fully specified name,On examination - breath sweet - acetone (context-dependent category),,1,
163181005,2667878019,1,31jul2017,Synonym,On examination - breath sweet - acetone,,1,
163181005,254301014,1,31jan2002,Synonym,O/E - breath sweet - acetone,,1,
163182003,2560689014,1,31jul2017,Fully specified name,On examination - breath urinose - uremic (finding),,1,
163182003,544371012,0,31jan2006,Fully specified name,On examination - breath urinose - uremic (context-dependent category),,1,
163182003,3789188016,1,31jan2020,Synonym,On examination - breath urinose - uraemic,,1,
163182003,2667879010,1,31jul2017,Synonym,On examination - breath urinose - uremic,,1,
163182003,254302019,1,31jul2003,Synonym,O/E - breath urinose - uremic,,1,
163182003,254303012,1,31jan2002,Synonym,O/E - breath urinose - uraemic,,1,
163183008,2560690017,1,31jul2017,Fully specified name,On examination - breath musty - hepatic (finding),,1,
163183008,544372017,0,31jan2006,Fully specified name,On examination - breath musty - hepatic (context-dependent category),,1,
163183008,2667880013,1,31jul2017,Synonym,On examination - breath musty - hepatic,,1,
163183008,254304018,1,31jan2002,Synonym,O/E - breath musty - hepatic,,1,
163184002,2560691018,1,31jul2017,Fully specified name,On examination - breath - alcohol smell (finding),,1,
163184002,544373010,0,31jan2006,Fully specified name,On examination - breath - alcohol smell (context-dependent category),,1,
163184002,2667881012,1,31jul2017,Synonym,On examination - breath - alcohol smell,,1,
163184002,254305017,1,31jan2002,Synonym,O/E - breath - alcohol smell,,1,
163184002,254306016,1,31jan2002,Synonym,O/E - alcoholic breath,,1,
164790002,546157011,1,31jul2017,Fully specified name,Breath test (procedure),,1,
164790002,256352014,1,31jul2017,Synonym,Breath test,,1,
164791003,546158018,1,31jul2007,Fully specified name,Helicobacter pylori breath test (procedure),,1,
164791003,134561000000116,1,01jun2019,Synonym,Helicobacter pylor breath test,,1,
164791003,256353016,1,31jul2007,Synonym,Helicobacter pylori breath test,,1,
167986000,549661017,1,31jul2017,Fully specified name,Sputum examination: abnormal (finding),,,1
167986000,260949018,1,31jul2017,Synonym,Sputum examination: abnormal,,,1
167991004,549666010,1,31jul2017,Fully specified name,Sputum: excessive - mucoid (finding),,,1
167991004,260954010,1,31jul2017,Synonym,Sputum: excessive - mucoid,,,1
167992006,549667018,1,31jul2017,Fully specified name,Sputum: frothy/watery (finding),,,1
167992006,260955011,1,31jul2017,Synonym,Sputum: frothy/watery,,,1
168001007,549677016,1,31jul2017,Fully specified name,Sputum: pus cells present (finding),,,1
168001007,260965017,1,31jul2017,Synonym,Sputum: pus cells present,,,1
168378007,550092018,1,31jul2007,Fully specified name,Helicobacter breath test positive (finding),,1,
168378007,261494012,1,31jul2007,Synonym,Helicobacter breath test positive,,1,
168379004,550093011,1,31jul2007,Fully specified name,Helicobacter breath test negative (finding),,1,
168379004,261495013,1,31jul2007,Synonym,Helicobacter breath test negative,,1,
16881000000103,35281000000117,1,01oct2010,Fully specified name,MRC coronary prevention trial (procedure),,1,
16881000000103,17231000000119,1,01oct2010,Synonym,MRC coronary prevention trial,,1,
16891000000101,35291000000115,1,01oct2010,Fully specified name,MRC treatment phase (procedure),,1,
16891000000101,17251000000114,1,01oct2010,Synonym,MRC treatment phase,,1,
16901000000100,43801000000111,1,01oct2010,Fully specified name,MRC treatment lost to follow-up (finding),,1,
16901000000100,17271000000117,1,01oct2010,Synonym,MRC treatment lost to follow-up,,1,
16901000000100,17281000000115,1,01oct2010,Synonym,MRC treatment lost to followup,,1,
17986004,745351012,1,31jul2017,Fully specified name,Barking cough (finding),1,,
17986004,30371011,1,31jul2017,Synonym,Barking cough,1,,
1820004,2746294016,1,31jul2017,Fully specified name,"Ethanol measurement, breath (procedure)",,1,
1820004,745591011,0,31jul2008,Fully specified name,"Alcohol measurement, breath (procedure)",,1,
1820004,1127841000000113,1,01jun2019,Synonym,Breath alcohol level,,1,
1820004,1127851000000111,1,01jun2019,Synonym,Breath ethanol level,,1,
1820004,2765182018,1,31jul2017,Synonym,"Ethanol measurement, breath",,1,
1820004,4147011,1,31jul2017,Synonym,"Alcohol measurement, breath",,1,
191954008,5072358016,1,31jul2022,Fully specified name,Psychogenic cough (disorder),1,,
191954008,575708019,0,31jul2022,Fully specified name,Psychogenic cough (finding),1,,
191954008,295349016,1,31jul2017,Synonym,Psychogenic cough,1,,
191954008,1494938015,0,31jul2014,Synonym,[X]Psychogenic cough,1,,
191956005,5071781019,1,31jul2022,Fully specified name,Psychogenic hyperventilation (disorder),,1,
191956005,575710017,0,31jul2022,Fully specified name,Psychogenic hyperventilation (finding),,1,
191956005,1826501000000116,1,16feb2022,Synonym,Psychogenic dysfunctional breathing,,1,
191956005,295351017,1,31jul2017,Synonym,Psychogenic hyperventilation,,1,
191956005,295353019,1,31jul2017,Synonym,Psychogenic overbreathing,,1,
191956005,295354013,1,31jul2017,Synonym,Hyperventilation syndrome,,1,
191956005,295352012,1,31jan2002,Synonym,HVS - Hyperventilation syndrome,,1,
191956005,1494940013,0,31jul2014,Synonym,[X]Psychogenic hyperventilat,,1,
19282004,747234015,1,31jul2017,Fully specified name,Cough on exercise (finding),1,,
19282004,479311018,1,31jul2017,Synonym,Cough on exercise,1,,
19282004,32526011,0,31jan2002,Synonym,Cough after exercise,1,,
195717003,579851019,1,31jul2017,Fully specified name,Acute purulent bronchitis (disorder),,,1
195717003,301103013,1,31jul2017,Synonym,Acute purulent bronchitis,,,1
195953005,580119019,1,31jul2017,Fully specified name,Mixed simple and mucopurulent chronic bronchitis (disorder),,,1
195953005,301456017,1,31jul2017,Synonym,Mixed simple and mucopurulent chronic bronchitis,,,1
199592004,2528747012,1,31jul2017,Fully specified name,Fetal distress - delivered (finding),,1,
199592004,584238010,0,31jan2005,Fully specified name,Fetal distress - delivered (disorder),,1,
199592004,3011268014,1,31jul2017,Synonym,Foetal distress - delivered,,1,
199592004,306682018,1,31jul2017,Synonym,Fetal distress - delivered,,1,
199593009,2528748019,1,31jul2017,Fully specified name,Fetal distress with antenatal problem (finding),,1,
199593009,584239019,0,31jan2005,Fully specified name,Fetal distress with antenatal problem (disorder),,1,
199593009,3011011015,1,31jul2017,Synonym,Foetal distress with antenatal problem,,1,
199593009,306683011,1,31jul2017,Synonym,Fetal distress with antenatal problem,,1,
200099005,584804014,1,31jul2017,Fully specified name,Maternal distress - delivered (disorder),,1,
200099005,307533019,1,31jul2017,Synonym,Maternal distress - delivered,,1,
200100002,584805010,1,31jul2017,Fully specified name,Maternal distress - delivered with postnatal problem (disorder),,1,
200100002,307534013,1,31jul2017,Synonym,Maternal distress - delivered with postnatal problem,,1,
200101003,584806011,1,31jul2017,Fully specified name,Maternal distress with antenatal problem (disorder),,1,
200101003,307535014,1,31jul2017,Synonym,Maternal distress with antenatal problem,,1,
200102005,584807019,1,31jul2017,Fully specified name,Maternal distress with postnatal problem (disorder),,1,
200102005,307536010,1,31jul2017,Synonym,Maternal distress with postnatal problem,,1,
206260003,2528770016,1,31jul2017,Fully specified name,Liveborn with prelabor fetal distress (finding),,1,
206260003,591731016,0,31jan2005,Fully specified name,Liveborn with prelabor fetal distress (disorder),,1,
206260003,2793210017,1,31jul2017,Synonym,Foetal distress before labour - liveborn,,1,
206260003,2793211018,1,31jul2017,Synonym,Liveborn with prelabour foetal distress,,1,
206260003,316265015,1,31jul2017,Synonym,Liveborn with prelabor fetal distress,,1,
206260003,316266019,1,31jul2017,Synonym,Fetal distress before labor - liveborn,,1,
206260003,316267011,1,31jul2017,Synonym,Liveborn with prelabour fetal distress,,1,
206260003,316268018,1,31jul2017,Synonym,Fetal distress before labour - liveborn,,1,
206266009,2528776010,1,31jul2017,Fully specified name,Liveborn with labor fetal distress (finding),,1,
206266009,591738010,0,31jan2005,Fully specified name,Liveborn with labor fetal distress (disorder),,1,
206266009,2793395011,1,31jul2017,Synonym,Foetal distress in labour - liveborn,,1,
206266009,2793396012,1,31jul2017,Synonym,Liveborn with labour foetal distress,,1,
206266009,316279011,1,31jul2017,Synonym,Fetal distress in labour - liveborn,,1,
206266009,316280014,1,31jul2017,Synonym,Liveborn with labor fetal distress,,1,
206266009,316281013,1,31jul2017,Synonym,Fetal distress in labor - liveborn,,1,
206266009,316278015,0,31jan2009,Synonym,Liveborn with labour fetal distress,,1,
2237002,751770015,1,31jul2017,Fully specified name,Pleuritic pain (finding),,1,
2237002,481328013,1,31jul2017,Synonym,Painful breathing -pleurodynia,,1,
2237002,4871019,1,31jul2017,Synonym,Pleurodynia,,1,
2237002,4872014,1,31jul2017,Synonym,Pleuralgia,,1,
2237002,4873016,1,31jul2017,Synonym,Pleural pain,,1,
2237002,4874010,1,31jul2017,Synonym,Pleuritic pain,,1,
2237002,4870018,0,31jan2002,Synonym,Pleuritic chest pain,,1,
229294007,1471585010,1,31jul2017,Fully specified name,Active cycle of breathing technique (regime/therapy),,1,
229294007,616976015,0,31jan2003,Fully specified name,Active cycle of breathing technique (procedure),,1,
229294007,343671018,1,31jul2017,Synonym,Active cycle of breathing technique,,1,
229294007,343670017,1,31jan2002,Synonym,ACBT - Active cycle of breathing technique,,1,
229298005,1471589016,1,31jul2017,Fully specified name,Breathing control (regime/therapy),,1,
229298005,616981012,0,31jan2003,Fully specified name,Breathing control (procedure),,1,
229298005,343677019,1,31jul2017,Synonym,Breathing control,,1,
229298005,343678012,1,31jan2002,Synonym,BC - Breathing control technique,,1,
230141000000103,369451000000117,1,02oct2006,Fully specified name,Urea breath test (procedure),,1,
230141000000103,369461000000119,1,02oct2006,Synonym,Urea breath test,,1,
230145002,617916018,1,31jul2017,Fully specified name,Difficulty breathing (finding),,1,
230145002,344917018,1,31jul2017,Synonym,Difficulty breathing,,1,
230145002,344918011,1,31jul2017,Synonym,Respiration difficult,,1,
230145002,344919015,1,31jan2002,Synonym,DIB - Difficulty in breathing,,1,
231111000000107,371391000000113,1,02oct2006,Fully specified name,C14 urea helicobacter pylori breath test (procedure),,1,
231111000000107,371401000000111,1,02oct2006,Synonym,C14 urea helicobacter pylori breath test,,1,
2361000000103,43781000000110,1,01oct2010,Fully specified name,MRC coronary screen DNA (finding),,1,
2361000000103,17241000000111,1,01oct2010,Synonym,MRC coronary screen DNA,,1,
2371000000105,43791000000112,1,01oct2010,Fully specified name,MRC treatment phase refused (finding),,1,
2371000000105,17261000000112,1,01oct2010,Synonym,MRC treatment phase refused,,1,
2381000000107,43811000000113,1,01oct2010,Fully specified name,MRC coronary trial NOS (finding),,1,
2381000000107,17291000000118,1,01oct2010,Synonym,MRC coronary trial NOS,,1,
240051000000102,389811000000117,1,02oct2006,Fully specified name,Oxygen administration by non rebreather mask (procedure),,1,
240051000000102,389821000000111,1,02oct2006,Synonym,Oxygen administration by non rebreather mask,,1,
248548009,638864015,1,31jul2017,Fully specified name,Nocturnal dyspnea (finding),,1,
248548009,371010012,1,31jul2017,Synonym,Nocturnal dyspnea,,1,
248548009,371011011,1,31jul2017,Synonym,Short of breath at night,,1,
248548009,371012016,1,31jul2017,Synonym,Nocturnal dyspnoea,,1,
248573009,638893015,1,31jul2017,Fully specified name,Noisy respiration (finding),,1,
248573009,371050010,1,31jul2017,Synonym,Noisy respiration,,1,
248573009,371051014,1,31jul2017,Synonym,Noisy breathing,,1,
248596009,638919016,1,31jul2017,Fully specified name,Sputum - symptom (finding),,,1
248596009,371081018,1,31jul2017,Synonym,Sputum - symptom,,,1
248598005,638921014,1,31jul2017,Fully specified name,Sputum volume (observable entity),,,1
248598005,371083015,1,31jul2017,Synonym,Sputum volume,,,1
248598005,371084014,1,31jul2017,Synonym,Volume of sputum,,,1
248599002,638922019,1,31jul2017,Fully specified name,Copious sputum (finding),,,1
248599002,371085010,1,31jul2017,Synonym,Profuse sputum,,,1
248599002,371086011,1,31jul2017,Synonym,Copious sputum,,,1
248600004,638923012,1,31jul2017,Fully specified name,Moderate sputum (finding),,,1
248600004,371087019,1,31jul2017,Synonym,Moderate sputum,,,1
248601000,638924018,1,31jul2017,Fully specified name,Scanty sputum (finding),,,1
248601000,371088012,1,31jul2017,Synonym,Scanty sputum,,,1
248604008,638928015,1,31jul2017,Fully specified name,Clear sputum (finding),,,1
248604008,371091012,1,31jul2017,Synonym,Clear sputum,,,1
252233000,642834019,1,31jul2017,Fully specified name,Hydrogen breath test (procedure),,1,
252233000,375668015,1,31jul2017,Synonym,Hydrogen breath test,,1,
252233000,375669011,1,31jan2002,Synonym,H-BT - Hydrogen breath test,,1,
252233000,375670012,1,31jan2002,Synonym,H2BT - Hydrogen breath test,,1,
252665005,643322014,1,31jul2003,Fully specified name,C14 triolein breath test (procedure),,1,
252665005,376352012,1,31jan2002,Synonym,C14 triolein breath test,,1,
252665005,376351017,0,31jan2020,Synonym,Breath test using radiolabelled fats,,1,
252666006,643323016,1,31jul2003,Fully specified name,C14 glycocholate breath test (procedure),,1,
252666006,376353019,1,31jan2002,Synonym,C14 glycocholate breath test,,1,
252666006,376354013,0,31jan2020,Synonym,Breath test of small intestine using radiolabelled bile salts,,1,
252666006,376355014,0,31jan2020,Synonym,Breath test using radiolabelled bile salts,,1,
